Benchmark,Steady Percentage
org_apacheproj_arrowmethod_org.apache.arrow.vector.util.TransferPairBenchmarks.splitAndTransferVarcharVectorparams_,"([0.9300066979236437, 0.9203747072599532, 0.8781386006026113, 0.9251336898395722, 0.9332662642521797, 0.9266331658291457, 0.9331092436974789, 0.8895602551191675, 0.9, 0.9250083696016069], [0.0018286845210687007, 0.0022961140224916623, 0.003481749016340733, 0.0021410724708408645, 0.0018845325602706018, 0.0020848353853369643, 0.0019144437927005452, 0.0031380632337558727, 0.0028610316234427683, 0.00216034957306741], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_crateproj_cratemethod_io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelectparams_,"([0.9332886356017432, 0.9334448160535117, 0.9301470588235294, 0.9334002677376171, 0.9334893048128342, 0.9334002677376171, 0.9334225493476079, 0.9331766286098052, 0.9266331658291457, 0.9317040508871778], [0.0031287363313992557, 0.0033107493618539214, 0.0035973208529856797, 0.003205411647640806, 0.0031386369073664777, 0.0033952989992473933, 0.003375599591750896, 0.0031952569777676494, 0.003549000323010557, 0.003286009806786907], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmarkparams_,"([0.9336445481827276, 0.9336445481827276, 0.9319773257752584, 0.9336666666666666, 0.9336666666666666, 0.9336666666666666, 0.9336445481827276, 0.9336445481827276, 0.9336666666666666, 0.9336666666666666], [9.868775567956494e-06, 9.811384870762308e-06, 9.939597016252125e-06, 9.786158957736797e-06, 9.513848491744544e-06, 9.671937801769418e-06, 9.700114813509957e-06, 9.714402939667954e-06, 9.72598766944065e-06, 9.71927456742074e-06], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_logging-log4j2method_org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Paramsparams_,"([0.9285714285714286, 1.0003337783711614, 1.0003344481605352, 0.3772194304857621, 1.0003343363423605, 0.9151069518716578, 0.8112449799196787, 0.9335337341349366, 1.0003345600535296, 1.0003340013360054], [0.0005467066139804312, 0, 0, 0.003966735207849969, 0, 0.0006070551423864897, 0.0012606652842370903, 0.00047199692889595156, 0, 0], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_eclipse-vertxproj_vert.xmethod_io.vertx.benchmarks.JsonEncodeBenchmark.deepBufferJacksonparams_,"([0.9317497490799599, 0.9336224149432956, 0.9334893048128342, 0.9317269076305221, 0.9268781302170284, 0.9333333333333333, 0.9317725752508361, 0.9317040508871778, 0.9334002677376171, 0.9334002677376171], [0.8928287489416512, 0.8649283748510909, 0.8498959208650078, 0.8658144587823038, 0.9537466883537491, 0.8432631832789228, 0.855700052386897, 0.8227428929903577, 0.8558372671978124, 0.8306009064145868], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_openzipkinproj_zipkinmethod_zipkin2.internal.ReadBufferBenchmarks.readLong_8arityparams_,"([0.9336666666666666, 1.0003334444814937, 0.6751167444963309, 1.0003333333333333, 0.35190126751167444, 0.5238412804268089, 0.24233333333333335, 0.7236666666666667, 0.6453333333333333, 0.5581860620206736], [1.2851500884285723e-05, 0, 5.8370364764886256e-05, 0, 0.00011981890241951797, 9.963189076166078e-05, 0.00011297283355301352, 4.556604738771964e-05, 6.70716187362412e-05, 6.906551537093635e-05], [True, True, True, True, True, True, False, True, True, False], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmarkparams_,"([0.9336445481827276, 0.9336224149432956, 0.9336445481827276, 0.9336666666666666, 0.9336445481827276, 0.9336445481827276, 0.9336666666666666, 0.9336224149432956, 0.9336002669336003, 0.9303101033677893], [1.1670752894240616e-05, 1.14923404454345e-05, 1.1606633754362598e-05, 1.160566271564573e-05, 1.1676107791516298e-05, 1.1695032001764925e-05, 1.1611589889673252e-05, 1.1676680869743505e-05, 1.1623869241970454e-05, 1.2167120262964906e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_RoaringBitmapproj_RoaringBitmapmethod_org.roaringbitmap.iteration.BatchIteratorBenchmark.batchIterateparams_bufferSize=512&dirtiness=0.1&keys=8192&runniness=0.1,"([1.000335345405768, 1.0003337783711614, 1.000334672021419, 1.0003355704697987, 1.0003343363423605, 1.000334672021419, 1.0003348961821836, 1.0003343363423605, 1.0003356831151393, 1.000334672021419], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_cantaloupe-projectproj_cantaloupemethod_edu.illinois.library.cantaloupe.perf.processor.codec.BMPImageReaderPerformance.testReadRenderedWithArgumentsparams_,"([1.0003334444814937, 1.0003335557038024, 1.0003334444814937, 1.0003336670003338, 1.0003335557038024, 1.0003341129301704, 1.0003333333333333, 1.0003335557038024, 1.0003334444814937, 1.0003336670003338], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_HdrHistogramproj_HdrHistogrammethod_bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBufferparams_latencySeriesName=case2&numberOfSignificantValueDigits=2,"([1.0003344481605352, 1.0003342245989304, 1.000334672021419, 1.0003350083752094, 1.0003351206434317, 1.0003351206434317, 1.000334672021419, 1.0003348961821836, 1.0003344481605352, 1.0003345600535296], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_ReactiveXproj_RxJavamethod_io.reactivex.rxjava3.xmapz.ObservableFlatMapCompletablePerf.observableConvertparams_count=100000,"([0.8834335337341349, 0.9067824924824591, 0.8933467067870278, 0.9318409622452389, 0.9335337341349366, 0.9317040508871778, 1.0003348961821836, 0.9267803410230692, 1.0003348961821836, 1.0003350083752094], [6.582091776, 5.5248186026666675, 6.261471095466666, 4.0508058282666655, 3.9073387861333355, 4.1065829717333315, 0, 4.398618487466666, 0, 0], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_camelmethod_org.apache.camel.itest.jmh.FastTypeConverterTest.typeConvertByteBufToArrayparams_,"([0.8881446751507033, 0.9267068273092369, 0.9334893048128342, 0.9334448160535117, 0.871356783919598, 0.8966555183946489, 0.9065952460662873, 0.9199061662198391, 0.9267313482770158, 0.9333556597454788], [5.1814550108280884e-05, 3.2645316039188814e-05, 3.448092801767209e-05, 3.0475677245492863e-05, 6.4405539808677e-05, 4.690224950914525e-05, 4.180766709002102e-05, 5.1229817248903175e-05, 3.3278105587328406e-05, 3.220145509269557e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmarkparams_,"([0.9336224149432956, 0.9336224149432956, 0.9336445481827276, 0.9336002669336003, 0.9336666666666666, 0.9336666666666666, 0.9336666666666666, 0.9336445481827276, 0.9336445481827276, 0.9219739913304434], [1.0181805648317483e-05, 1.0226337915037274e-05, 1.0022512449247841e-05, 1.0229337037641363e-05, 1.0096409900112396e-05, 1.0182930754378413e-05, 1.0263675271936781e-05, 1.0249304450732275e-05, 1.0240386605030506e-05, 1.1786520984134918e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_raphwproj_byte-buddymethod_net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglibparams_,"([1.0003335557038024, 1.0003334444814937, 0.9253084361453818, 0.9335781041388518, 1.0003333333333333, 0.917, 1.0003336670003338, 1.0003337783711614, 1.0003335557038024, 1.0003335557038024], [0, 0, 0.32856045030028924, 0.28898958404822267, 0, 0.3482572572273451, 0, 0, 0, 0], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_eclipseproj_eclipse-collectionsmethod_org.eclipse.collections.impl.jmh.MinTest.serial_lazy_streams_ecparams_,"([0.7453874538745388, 0.7502517623363545, 0.6157190635451505, 0.7448229792919172, 0.615975935828877, 0.7597728032074841, 0.7578595317725753, 0.7580213903743316, 0.615975935828877, 0.6161042432342132], [9.428538936888883, 9.184355409269843, 16.74092774156188, 9.484177973638086, 16.77794422979038, 8.592718844749207, 8.628486917688882, 8.662141675682538, 16.551160919771423, 16.66362265274912], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_imglibproj_imglib2method_net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder_MultiThreadedparams_,"([0.9335559265442404, 0.9336224149432956, 0.9335781041388518, 0.9335781041388518, 0.9336445481827276, 0.9336224149432956, 0.9336224149432956, 0.9336666666666666, 0.9336666666666666, 0.9336224149432956], [0.746292322464771, 0.6724276986111637, 0.6703510887368654, 0.6576905394254935, 0.7050589795172713, 0.6740554465218351, 0.7277840442455314, 0.7341917902846159, 0.66423358191079, 0.6724549738674086], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_kafkamethod_org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSizeparams_bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=LZ4&maxBatchSize=500&messageSize=1000&messageVersion=2,"([0.6166219839142091, 0.8817240227196792, 0.8934891485809683, 0.6442661317285189, 0.908453057133311, 0.9334225493476079, 0.9334002677376171, 0.5993985967256933, 0.5989966555183946, 0.8310425745893396], [0.18210403748571447, 0.07585954377142859, 0.06748035352380956, 0.16844768579047628, 0.05921952731428572, 0.042842357638095234, 0.043509655771428554, 0.18937272807619024, 0.18845384685714267, 0.11417124632380951], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_cantaloupe-projectproj_cantaloupemethod_edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readInfoWithFLVparams_,"([1.0003333333333333, 1.0003334444814937, 1.0003333333333333, 1.0003333333333333, 1.0003333333333333, 1.0003333333333333, 1.0003334444814937, 1.0003333333333333, 1.0003333333333333, 1.0003333333333333], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
