Benchmark,Steady Percentage
org_h2oaiproj_h2o-3method_hex.AUCBuilderBench.perRowparams_nBins=40&nObs=1000,"([0.8663333333333333, 0.9353333333333333, 0.8666666666666667, 0.936, 0.936, 0.8586666666666667, 0.927, 0.8666666666666667, 0.9363333333333334, 0.8663333333333333], [0.04639729316159087, 0.01962716296890395, 0.04636961326954622, 0.01964348491629319, 0.019647221945950692, 0.04868675222861276, 0.02208067340332193, 0.046489159497661074, 0.01964201600238751, 0.04773611913903068], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_jdbiproj_jdbimethod_org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectSelectOneparams_,"([0.519, 0.7096666666666667, 0.3636666666666667, 0.329, 0.718, 0.7716666666666666, 0.418, 0.697, 0.319, 0.587], [0.0030440718010605818, 0.0028215099873790763, 0.012194300138709948, 0.007065745251086946, 0.002930241963689264, 0.005550875664110484, 0.0027960407530826918, 0.002775950934069063, 0.0040927634187867485, 0.005102256644986302], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_eclipse-vertxproj_vert.xmethod_io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatchparams_,"([0.922, 0.557, 0.8303333333333334, 0.22666666666666666, 0.6853333333333333, 0.869, 0.44766666666666666, 0.3403333333333333, 0.39266666666666666, 0.8316666666666667], [1.5647960320822067e-05, 2.6304989269154897e-05, 3.560894728468576e-05, 2.5840920253066394e-05, 3.54137369205308e-05, 2.8019607193280075e-05, 2.6358154473280596e-05, 2.2235348111198717e-05, 3.3160639287468836e-05, 3.5634479324704986e-05], [True, False, True, False, False, True, False, False, False, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_logging-log4j2method_org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput9Paramsparams_,"([0.5233333333333333, 0.209, 0.898, 0.8563333333333333, 0.5376666666666666, 0.201, 0.9306666666666666, 0.44133333333333336, 0.7233333333333334, 0.26966666666666667], [0.0015652686217774337, 0.0012624663485388485, 0.0005723024478485061, 0.0003673288525034483, 0.000741763102841397, 0.0031167511341273226, 0.0003988279900812546, 0.0012877815413200983, 0.0005979722067535723, 0.00032731782359010143], [False, False, True, True, False, False, True, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_RoaringBitmapproj_RoaringBitmapmethod_org.roaringbitmap.iteration.BitmapIteratorBenchmark.forwardsBufferparams_density=0.1,"([0.9323333333333333, 0.932, 0.933, 0.9313333333333333, 0.9323333333333333, 0.933, 0.932, 0.932, 0.933, 0.9323333333333333], [0.002912762341735382, 0.002905881604153162, 0.002914829972404419, 0.0029058335830187652, 0.002901754484251107, 0.0029001046542826638, 0.002900612512347139, 0.0029134060261481283, 0.0029028364743318826, 0.0029049388261779547], [True, True, True, True, True, True, True, True, True, True], [True, False, True, True, False, True, False, True, True, False])"
org_cantaloupe-projectproj_cantaloupemethod_edu.illinois.library.cantaloupe.perf.processor.codec.BMPImageReaderPerformance.testReadRenderedWithArgumentsparams_,"([0.9356666666666666, 0.9353333333333333, 0.9226666666666666, 0.936, 0.9366666666666666, 0.9353333333333333, 0.918, 0.9343333333333333, 0.9353333333333333, 0.9083333333333333], [6.549698325313527e-06, 6.601738573080417e-06, 7.576722180380373e-06, 6.395093878271508e-06, 6.3803218867810005e-06, 6.421128926053258e-06, 8.15695242846923e-06, 6.385773586064051e-06, 6.324976948627371e-06, 9.103692796228545e-06], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_yellowstonegamesproj_SquidLibmethod_squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS3params_NEED_TO_ENLARGE=1&SIZE=65536,"([0.5296666666666666, 0.823, 0.8643333333333333, 0.778, 0.9033333333333333, 0.8423333333333334, 0.8346666666666667, 0.8066666666666666, 0.6806666666666666, 0.87], [2.0258457419351616, 0.8377143684221229, 1.1056206386222949, 0.8235755514926657, 0.7939791198891005, 0.7730168563523412, 0.5446892659569056, 0.8334927544394715, 0.5497199942882728, 1.065711526169084], [False, True, True, True, True, True, True, True, False, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_camelmethod_org.apache.camel.itest.jmh.SimpleMockPlaceholderTest.simpleMockPlaceholderTestparams_,"([0.4023333333333333, 0.514, 0.7446666666666667, 0.5383333333333333, 0.6533333333333333, 0.43666666666666665, 0.8056666666666666, 0.32666666666666666, 0.08566666666666667, 0.5653333333333334], [8.40599940144761, 6.256624981333328, 4.463742930488889, 16.820588583009545, 11.516541487136513, 11.740071870984126, 7.4704250327365065, 5.641912183466672, 37.020834936279336, 3.1280807805968256], [False, False, False, False, False, False, True, False, False, False], [True, True, True, True, True, True, True, True, False, True])"
org_jgraphtproj_jgraphtmethod_org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testBellmanFordCompleteparams_numOfVertices=3000,"([0.882, 0.82, 0.936, 0.9003333333333333, 0.912, 0.9356666666666666, 0.4866666666666667, 0.45366666666666666, 0.9373333333333334, 0.467], [1320.8073011200004, 1090.0073349119994, 746.4435056639996, 998.0136652800004, 836.9062543359997, 706.8702474240004, 738.0339261440002, 687.8994104320002, 794.7576934400003, 2940.4042362879823], [True, True, True, True, True, True, False, False, True, False], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmarkparams_,"([0.105, 0.105, 0.105, 0.9046666666666666, 0.10466666666666667, 0.9366666666666666, 0.105, 0.937, 0.937, 0.9363333333333334], [0.00012409913321478685, 0.00012178781874209972, 0.0001220401227927647, 1.377662045537379e-05, 0.0001225429004995363, 9.558757660166205e-06, 0.00012492671040653685, 9.465647048228018e-06, 9.494116938749166e-06, 9.547681319732366e-06], [False, False, False, True, False, True, False, True, True, True], [False, False, False, True, False, True, False, True, True, True])"
org_openzipkinproj_zipkinmethod_zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpanparams_,"([0.15533333333333332, 0.22066666666666668, 0.14, 0.14566666666666667, 0.208, 0.15633333333333332, 0.11433333333333333, 0.09866666666666667, 0.30966666666666665, 0.268], [0.35891176327394697, 0.6134644600998329, 0.6012921849156256, 0.7156720178096038, 0.6341851885303776, 0.3645854062604527, 0.311547576926132, 0.5563452883614413, 0.25097718779818484, 0.28820115888265285], [False, False, False, False, False, False, False, False, False, False], [True, False, True, True, True, True, False, False, True, True])"
org_hazelcastproj_hazelcastmethod_com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateReplaceparams_depth=16,"([0.927, 0.867, 0.932, 0.934, 0.7976666666666666, 0.9243333333333333, 0.8573333333333333, 0.933, 0.9313333333333333, 0.866], [3.7071113666947116e-05, 3.0643531923059206e-05, 4.4948597532515916e-05, 2.8497940607584573e-05, 2.9647977696800136e-05, 3.5058810108791974e-05, 3.406608732505101e-05, 2.9557891688838088e-05, 3.0476026120099533e-05, 2.913644888969626e-05], [True, True, True, True, False, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_RoaringBitmapproj_RoaringBitmapmethod_org.roaringbitmap.aggregation.andnot.worstcase.Roaring64BitmapBenchmark.inplace_andNotparams_,"([0.937, 0.8566666666666667, 0.8543333333333333, 0.8416666666666667, 0.6936666666666667, 0.785, 0.8613333333333333, 0.736, 0.937, 0.786], [0.6889402640486112, 0.8047344990009025, 0.8249409233447912, 1.6644511828022373, 1.2727905303492237, 0.8237000456104042, 0.6988245430428144, 1.2721811684751936, 0.6917911135151276, 0.82034577058393], [True, True, True, True, False, False, True, False, True, False], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmarkparams_,"([0.932, 0.9356666666666666, 0.935, 0.937, 0.9346666666666666, 0.9353333333333333, 0.9346666666666666, 0.9346666666666666, 0.9346666666666666, 0.9336666666666666], [1.2237523831618046e-05, 1.14923404454345e-05, 1.1606633754362598e-05, 1.160566271564573e-05, 1.1958464219735213e-05, 1.1695032001764925e-05, 1.1611589889673252e-05, 1.1959494389266496e-05, 1.1623869241970454e-05, 1.2167120262964906e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_tinkerpopmethod_org.apache.tinkerpop.gremlin.driver.GraphBinaryReaderWriterBenchmark.readP1params_,"([0.8026666666666666, 0.839, 0.861, 0.8626666666666667, 0.752, 0.8106666666666666, 0.852, 0.8656666666666667, 0.8643333333333333, 0.8673333333333333], [0.00044446527182717325, 0.000547843494851778, 0.0002780481168720113, 0.0002451765975273444, 0.0006039569257019992, 0.0006983293401681079, 0.00025253487872902526, 0.0002697274566155, 0.0005171710582371929, 0.0002609420698029063], [True, True, True, True, False, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_nettyproj_nettymethod_io.netty.handler.codec.mqtt.MqttConnectReturnCodeBench.getViaSwitchparams_,"([0.937, 0.9066666666666666, 0.832, 0.9166666666666666, 0.913, 0.919, 0.9333333333333333, 0.933, 0.912, 0.859], [1.3707935989432739e-05, 1.6599868743842937e-05, 3.2243436771096696e-05, 1.878777707193191e-05, 1.6606399127277832e-05, 1.4574370118216023e-05, 1.2048808427646512e-05, 1.4483736884112568e-05, 1.89941069207087e-05, 2.237778874601114e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_jgraphtproj_jgraphtmethod_org.jgrapht.perf.clique.MaximalCliqueEnumerationPerformanceTest.PivotBronKerboschRandomGraphBenchmark.runparams_,"([0.936, 0.9273333333333333, 0.9356666666666666, 0.657, 0.9293333333333333, 0.8723333333333333, 0.9256666666666666, 0.9356666666666666, 0.936, 0.8693333333333333], [2470.788988928001, 2749.6850391040007, 2494.755241983999, 12582.618398720013, 2759.4242129920017, 4706.260746239997, 2861.6058470400003, 2380.317851648, 2494.998511615999, 5081.013420031997], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_zalandoproj_logbookmethod_org.zalando.logbook.HttpLogFormatterBenchmark.defaultResponseparams_,"([0.6536666666666666, 0.7266666666666667, 0.6276666666666667, 0.846, 0.8, 0.651, 0.8446666666666667, 0.934, 0.7663333333333333, 0.799], [0.0033661599372309552, 0.00789388369411467, 0.008241949475739205, 0.002931762340273069, 0.005047846000890659, 0.004974400891802137, 0.0036455357722661942, 0.0027776332281972877, 0.006942445780955986, 0.005523025484673761], [False, False, False, True, False, False, True, True, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmarkparams_,"([0.9343333333333333, 0.068, 0.7883333333333333, 0.934, 0.934, 0.868, 0.8633333333333333, 0.707, 0.8003333333333333, 0.866], [2.4693410283462863e-05, 0.000273630310593401, 4.5897053623733374e-05, 3.729574365248873e-05, 2.497378570894725e-05, 4.497355821441857e-05, 4.858811958368656e-05, 4.854150433336756e-05, 4.641782578119366e-05, 4.974623440712752e-05], [True, False, False, True, True, True, True, False, False, True], [True, False, True, True, True, True, True, True, True, True])"
org_RoaringBitmapproj_RoaringBitmapmethod_org.roaringbitmap.iteration.BatchIteratorBenchmark.iterateparams_bufferSize=512&dirtiness=0.1&keys=2096&runniness=0.1,"([0.22066666666666668, 0.22066666666666668, 0.22, 0.22033333333333333, 0.21966666666666668, 0.22066666666666668, 0.21966666666666668, 0.22, 0.22, 0.22], [69.6161484799996, 69.59563571199979, 69.57228031999989, 69.74721228799946, 69.75671773866632, 69.56763545599995, 69.64026026666629, 69.54639906133349, 69.61953996799998, 69.5641620479997], [False, False, False, False, False, False, False, False, False, False], [True, True, False, True, True, False, True, False, True, False])"
org_apacheproj_hivemethod_org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCountparams_aggregation=bloom_filter&dataType=bigint&evalMode=COMPLETE&hasNulls=true&isRepeating=true&processMode=HASH,"([0.936, 0.9363333333333334, 0.9366666666666666, 0.9363333333333334, 0.934, 0.9336666666666666, 0.915, 0.9333333333333333, 0.934, 0.9353333333333333], [1.9637840456995664e-05, 1.8495383300370225e-05, 1.9258338384565717e-05, 1.8931012429145185e-05, 1.9577013253389596e-05, 1.8967815584403713e-05, 2.3949736792568753e-05, 1.9158811718971984e-05, 1.9931521150944342e-05, 1.8480502201092905e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
