Benchmark,Steady Percentage
org_eclipse-vertxproj_vert.xmethod_io.vertx.benchmarks.JsonEncodeBenchmark.deepBufferJacksonparams_,"([0.8283706925393108, 0.8335557038025351, 0.8282085561497327, 0.8313253012048193, 0.8340567612687813, 0.8298157453936349, 0.8334448160535117, 0.8299296953465015, 0.8329986613119144, 0.8286479250334672], [2.0040296193050176, 1.9796682291974166, 2.0006944600808647, 1.936543027046866, 1.9971774224143817, 1.9566720229313694, 1.8818552369735997, 1.8582951217894486, 1.9506178865133916, 1.9133700149088844], [True, True, True, True, True, False, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_tinkerpopmethod_org.apache.tinkerpop.gremlin.driver.GraphBinaryReaderWriterBenchmark.readP1params_,"([0.8248492967180174, 0.8332217012726055, 0.8328308207705193, 0.8274588788183954, 0.8277367360644728, 0.8096353295416527, 0.8307588985896575, 0.8336680053547524, 0.832997311827957, 0.8329427519250083], [0.0006148153224663517, 0.000568134798618976, 0.0005875907148522094, 0.0005677417999452737, 0.0006039569257019992, 0.0006983293401681079, 0.0005653792949030374, 0.0005806736759668233, 0.0006444632118629749, 0.0005726818245242448], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmarkparams_,"([0.6454636759290258, 0.8331103678929765, 0.6436704621567314, 0.814343163538874, 0.8294807370184255, 0.8326065078832606, 0.8330545332887254, 0.8334448160535117, 0.6341137123745819, 0.5015065282892535], [0.00015558861093121053, 8.135854994696713e-05, 0.00015459782997887659, 8.207451247770636e-05, 7.389204434844397e-05, 8.851865440540542e-05, 7.763817658988443e-05, 8.050812248426967e-05, 0.00016629214574669378, 0.0002060508053174501], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_jdbiproj_jdbimethod_org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseOtherparams_,"([0.30561122244488975, 0.3347797062750334, 0.222, 0.8346666666666667, 0.3644859813084112, 0.5163660654642619, 0.5603735823882589, 0.7285761920640214, 0.7743333333333333, 0.6493333333333333], [0.0001693012018216136, 9.007601686434851e-05, 0.00018507447247111952, 3.7623765025846555e-05, 0.00014275055397148216, 7.428269708435253e-05, 9.251741416245414e-05, 6.066714919671986e-05, 5.4628426300858e-05, 7.531301417278576e-05], [True, True, True, False, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_prestodbproj_prestomethod_com.facebook.presto.BenchmarkBoxedBoolean.primitiveparams_,"([0.8336112037345782, 0.832, 0.8219406468822941, 0.8336666666666667, 0.8336666666666667, 0.8335557038025351, 0.8336112037345782, 0.8336112037345782, 0.8336112037345782, 0.8306666666666667], [0.00024167990208723818, 0.0002363452712501538, 0.0002486760201086551, 0.00023598503952763385, 0.00023526826816793923, 0.00023854094765344536, 0.00023579106918199952, 0.0002375587512185468, 0.00023456487906620987, 0.00023915668688133385], [True, True, True, True, True, True, True, True, True, False], [True, True, True, True, True, True, True, True, True, True])"
org_raphwproj_byte-buddymethod_net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglibparams_,"([0.8118745830553702, 0.7739246415471824, 0.8346115371790597, 0.6522029372496663, 0.781, 0.826, 0.8211544878211545, 0.729305740987984, 0.8205470313542361, 0.8228819212808539], [0.7246403846118422, 0.9021807529922076, 0.6830844741788168, 0.6798274545282961, 0.8549514097178863, 0.6957806976939971, 0.7053174940597432, 1.0674545868726382, 0.7050981645801868, 0.7281135595964877], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_JCToolsproj_JCToolsmethod_org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoopsparams_burstSize=1&qCapacity=132000&qType=SpscArrayQueue,"([0.6945648549516505, 0.8329443147715905, 0.8256666666666667, 0.424, 0.764, 0.8322774258086029, 0.8086666666666666, 0.8343333333333334, 0.8289429809936646, 0.8343333333333334], [6.831811788555607e-05, 3.3561986262663856e-05, 4.351353087445475e-05, 0.00012627202500870764, 4.635394162146993e-05, 3.8687199780096984e-05, 4.376893626698719e-05, 3.619117386323765e-05, 3.63194899221337e-05, 3.4148455150321294e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmarkparams_,"([0.8265374331550802, 0.8332775359892869, 0.8332217012726055, 0.7913741223671013, 0.8333333333333334, 0.8324941255454851, 0.8330545332887254, 0.8181513730743469, 0.8295378432685867, 0.8329986613119144], [5.9129429825745874e-05, 5.403086499411156e-05, 6.805051897620748e-05, 6.763560618176082e-05, 5.415642839791907e-05, 5.5211855675876804e-05, 5.5161425200009854e-05, 6.292160699692904e-05, 5.620247819759805e-05, 5.5762627861514155e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_nettyproj_nettymethod_io.netty.microbenchmark.common.IsValidIpV6Benchmark.isValidIpV6AddressOldparams_ip=0:0:0:0:0:0:10.0.0.1,"([0.824220060382422, 0.6202277294038848, 0.8331099195710456, 0.605289588215601, 0.8331658291457287, 0.832774798927614, 0.8310425745893396, 0.8211409395973155, 0.833389093342255, 0.8312688316036156], [0.00019956596857423188, 0.0004497002586565159, 0.00021112690812407665, 0.0004428348249541315, 0.0001926631595618598, 0.00020323009240258243, 0.00019193496567457087, 0.0002290241961109055, 0.0001991258554460881, 0.00019010252339358248], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_hivemethod_org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCountparams_aggregation=stddev_samp&dataType=double&evalMode=PARTIAL1&hasNulls=false&isRepeating=false&processMode=HASH,"([0.8331661651621531, 0.8332776478449716, 0.8332776478449716, 0.7934601267934601, 0.8333889816360601, 0.8330545332887254, 0.8331103678929765, 0.832886805090422, 0.8332776478449716, 0.8331103678929765], [0.0031806457963752775, 0.003179388423949692, 0.00318390484599607, 0.003940866904396502, 0.003181489941977353, 0.0031784482703062786, 0.003179056480187963, 0.0031806868679033697, 0.003179862239635608, 0.0031802910554747377], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
